Tiempo;Abs;patogeno;Probiotico;Muestra
1; 0.1356;Salmonella;M20;HECES
1;0.1650 ;Salmonella;M21;LECHE
1;0.1684;Salmonella;M21;LECHE
1; 0.1578;Salmonella;M21;LECHE
1;0.1829 ;Salmonella;M22;HECES
1;0.1845 ;Salmonella;M22;HECES
1;0.1769;Salmonella;M22;HECES
1;0.1829 ;Salmonella;M23;LECHE
1;0.1795;Salmonella;M23;LECHE
1; 0.1818;Salmonella;M23;LECHE
1;0.2300;Salmonella;M24;LECHE
1; 0.2406 ;Salmonella;M24;LECHE
1;0.2387;Salmonella;M24;LECHE
1;0.1162 ;Salmonella;M25;HECES
1;0.1168;Salmonella;M25;HECES
1; 0.1192;Salmonella;M25;HECES
1;0.1117 ;Salmonella;M26;HECES
1;0.1148 ;Salmonella;M26;HECES
1;0.1171;Salmonella;M26;HECES
1;0.1160 ;Salmonella;M27;LECHE
1;0.1183 ;Salmonella;M27;LECHE
1;0.1183;Salmonella;;LECHE
1;0.1223;Salmonella;M28;LECHE
1; 0.1163 ;Salmonella;;LECHE
1;0.1165;Salmonella;;LECHE
1;0.1683 ;Salmonella;M29;HECES
1;0.1684;Salmonella;;HECES
1; 0.1638;Salmonella;;HECES
1;0.1731;Salmonella;M30;LECHE
1; 0.1718;Salmonella;;LECHE
1; 0.1737;Salmonella;;LECHE
1;0.1503 ;Salmonella;M31;HECES
1;0.1516 ;Salmonella;;HECES
1;0.1510;Salmonella;;HECES
1;0.1500 ;Salmonella;M32;LECHE
1;0.1519 ;Salmonella;;LECHE
1;0.1521;Salmonella;;LECHE
1;0.2002 ;Salmonella;M33;LECHE
1;0.2004 ;Salmonella;;LECHE
1;0.2017;Salmonella;;LECHE
1;0.1518;Salmonella;M34;LECHE
1; 0.1525 ;Salmonella;;LECHE
1;0.1517;Salmonella;;LECHE
2;0.1432 ;Salmonella;M1;HECES
2;0.1525;Salmonella;;HECES
2; 0.1499;Salmonella;;HECES
2;0.1390 ;Salmonella;M2;HECES
2;0.1336;Salmonella;;HECES
2; 0.1403;Salmonella;;HECES
2;0.1427 ;Salmonella;M3;HECES
2;0.1432;Salmonella;;HECES
2; 0.1434;Salmonella;;HECES
2;0.1329 ;Salmonella;M4;HECES
2;0.1258 ;Salmonella;;HECES
2;0.1422;Salmonella;;HECES
2;0.1352 ;Salmonella;M5;LECHE
2;0.1405 ;Salmonella;;LECHE
2;0.1469;Salmonella;;LECHE
2;0.1433;Salmonella;M6;LECHE
2; 0.1401;Salmonella;;LECHE
2; 0.1444;Salmonella;;LECHE
2;0.1570 ;Salmonella;M7;HECES
2;0.1600;Salmonella;;HECES
2; 0.1558;Salmonella;;HECES
2;0.1414 ;Salmonella;M8;LECHE
2;0.1458;Salmonella;;LECHE
2; 0.1734;Salmonella;;LECHE
2;0.1844;Salmonella;M9;HECES
2; 0.1760 ;Salmonella;;HECES
2;0.1734;Salmonella;;HECES
2;0.1606 ;Salmonella;M10;HECES
2;0.1614 ;Salmonella;;HECES
2;0.1576;Salmonella;;HECES
2;0.1721 ;Salmonella;M11;LECHE
2;0.1779;Salmonella;;LECHE
2; 0.1762;Salmonella;;LECHE
2;0.1710 ;Salmonella;M12;LECHE
2;0.1805;Salmonella;;LECHE
2; 0.1689;Salmonella;;LECHE
2;0.2196 ;Salmonella;M13;HECES
2;0.2156;Salmonella;;HECES
2; 0.2309;Salmonella;;HECES
2;0.1608 ;Salmonella;M14;HECES
2;0.1582 ;Salmonella;;HECES
2;0.1730;Salmonella;;HECES
2;0.1168 ;Salmonella;M15;LECHE
2;0.1205;Salmonella;;LECHE
2; 0.1170;Salmonella;;LECHE
2;0.1724;Salmonella;M16;HECES
2; 0.1730;Salmonella;;HECES
2; 0.1724;Salmonella;;HECES
2;0.1891 ;Salmonella;M17;HECES
2;0.1901;Salmonella;;HECES
2; 0.2026;Salmonella;;HECES
2;0.1630 ;Salmonella;M18;HECES
2;0.1629 ;Salmonella;;HECES
2;0.1526;Salmonella;;HECES
2;0.1675 ;Salmonella;M19;HECES
2;0.1698;Salmonella;;HECES
2; 0.1469;Salmonella;;HECES
2;0.1773;Salmonella;M20;HECES
2; 0.1717;Salmonella;;HECES
2; 0.1370;Salmonella;;HECES
2;0.1676 ;Salmonella;M21;LECHE
2;0.1694 ;Salmonella;;LECHE
2;0.1574;Salmonella;;LECHE
2;0.1860 ;Salmonella;M22;HECES
2;0.1918;Salmonella;;HECES
2; 0.1839;Salmonella;;HECES
2;0.1860 ;Salmonella;M23;LECHE
2;0.1838;Salmonella;;LECHE
2; 0.1989;Salmonella;;LECHE
2;0.2313 ;Salmonella;M24;LECHE
2;0.2409 ;Salmonella;;LECHE
2;0.2348;Salmonella;;LECHE
2;0.1137;Salmonella;M25;HECES
2; 0.1169 ;Salmonella;;HECES
2;0.1173;Salmonella;;HECES
2;0.1157 ;Salmonella;M26;HECES
2;0.1145;Salmonella;;HECES
2; 0.1181;Salmonella;;HECES
2;0.1157 ;Salmonella;M27;LECHE
2;0.1162;Salmonella;;LECHE
2; 0.1172;Salmonella;;LECHE
2;0.1171 ;Salmonella;M28;LECHE
2;0.1152 ;Salmonella;;LECHE
2;0.1152;Salmonella;;LECHE
2;0.1697 ;Salmonella;M29;HECES
2;0.1703;Salmonella;;HECES
2; 0.1628;Salmonella;;HECES
2;0.1735 ;Salmonella;M30;LECHE
2;0.1741 ;Salmonella;;LECHE
2;0.1731;Salmonella;;LECHE
2;0.1490;Salmonella;M31;HECES
2; 0.1504;Salmonella;;HECES
2; 0.1459;Salmonella;;HECES
2;0.1491 ;Salmonella;M32;LECHE
2;0.1506;Salmonella;;LECHE
2; 0.1517;Salmonella;;LECHE
2;0.2035 ;Salmonella;M33;LECHE
2;0.2015 ;Salmonella;;LECHE
2;0.2024;Salmonella;;LECHE
2;0.1510 ;Salmonella;M34;LECHE
2;0.1516 ;Salmonella;;LECHE
2;0.1523;Salmonella;;LECHE
3;0.1441;Salmonella;M1;HECES
3; 0.1530 ;Salmonella;;HECES
3;0.1510;Salmonella;;HECES
3;0.1359 ;Salmonella;M2;HECES
3;0.1345;Salmonella;;HECES
3; 0.1412;Salmonella;;HECES
3;0.1429;Salmonella;M3;HECES
3; 0.1431;Salmonella;;HECES
3; 0.1462;Salmonella;;HECES
3;0.1340 ;Salmonella;M4;HECES
3;0.1271 ;Salmonella;;HECES
3;0.1426;Salmonella;;HECES
3;0.1376;Salmonella;M5;LECHE
3; 0.1418 ;Salmonella;;LECHE
3;0.1490;Salmonella;;LECHE
3;0.1426 ;Salmonella;M6;LECHE
3;0.1426 ;Salmonella;;LECHE
3;0.1467;Salmonella;;LECHE
3;0.1582 ;Salmonella;M7;HECES
3;0.1614 ;Salmonella;;HECES
3;0.1567;Salmonella;;HECES
3;0.1422;Salmonella;M8;LECHE
3; 0.1469;Salmonella;;LECHE
3; 0.1766;Salmonella;;LECHE
3;0.1839 ;Salmonella;M9;HECES
3;0.1776 ;Salmonella;;HECES
3;0.1769;Salmonella;;HECES
3;0.1614 ;Salmonella;M10;HECES
3;0.1625 ;Salmonella;;HECES
3;0.1606;Salmonella;;HECES
3;0.1734;Salmonella;M11;LECHE
3; 0.1793 ;Salmonella;;LECHE
3;0.1794;Salmonella;;LECHE
3;0.1748 ;Salmonella;M12;LECHE
3;0.1826;Salmonella;;LECHE
3; 0.1721;Salmonella;;LECHE
3;0.2247 ;Salmonella;M13;HECES
3;0.2213 ;Salmonella;;HECES
3;0.2389;Salmonella;;HECES
3;0.1619 ;Salmonella;M14;HECES
3;0.1585;Salmonella;;HECES
3; 0.1751;Salmonella;;HECES
3;0.1174 ;Salmonella;M15;LECHE
3;0.1183 ;Salmonella;;LECHE
3;0.1167;Salmonella;;LECHE
3;0.1743 ;Salmonella;M16;HECES
3;0.1744;Salmonella;;HECES
3; 0.1771;Salmonella;;HECES
3;0.1910 ;Salmonella;M17;HECES
3;0.1911 ;Salmonella;;HECES
3;0.2088;Salmonella;;HECES
3;0.1640;Salmonella;M18;HECES
3; 0.1625 ;Salmonella;;HECES
3;0.1525;Salmonella;;HECES
3;0.1666 ;Salmonella;M19;HECES
3;0.1698 ;Salmonella;;HECES
3;0.1503;Salmonella;;HECES
3;0.1760 ;Salmonella;M20;HECES
3;0.1697;Salmonella;;HECES
3; 0.1386;Salmonella;;HECES
3;0.1700 ;Salmonella;M21;LECHE
3;0.1717;Salmonella;;LECHE
3; 0.1589;Salmonella;;LECHE
3;0.1897 ;Salmonella;M22;HECES
3;0.2169 ;Salmonella;;HECES
3;0.2163;Salmonella;;HECES
3;0.1897;Salmonella;M23;LECHE
3; 0.1951;Salmonella;;LECHE
3; 0.3533;Salmonella;;LECHE
3;0.2332 ;Salmonella;M24;LECHE
3;0.2438 ;Salmonella;;LECHE
3;0.2373;Salmonella;;LECHE
3;0.1142 ;Salmonella;M25;HECES
3;0.1167;Salmonella;;HECES
3; 0.1170;Salmonella;;HECES
3;0.1171;Salmonella;M26;HECES
3; 0.1167 ;Salmonella;;HECES
3;0.1186;Salmonella;;HECES
3;0.1129 ;Salmonella;M27;LECHE
3;0.1170 ;Salmonella;;LECHE
3;0.1177;Salmonella;;LECHE
3;0.1163;Salmonella;M28;LECHE
3; 0.1158;Salmonella;;LECHE
3; 0.1159;Salmonella;;LECHE
3;0.1706 ;Salmonella;M29;HECES
3;0.1719;Salmonella;;HECES
3; 0.1645;Salmonella;;HECES
3;0.1753;Salmonella;M30;LECHE
3; 0.1760 ;Salmonella;;LECHE
3;0.1785;Salmonella;;LECHE
3;0.1515 ;Salmonella;M31;HECES
3;0.1537 ;Salmonella;;HECES
3;0.1502;Salmonella;;HECES
3;0.1524 ;Salmonella;M32;LECHE
3;0.1533;Salmonella;;LECHE
3; 0.1548;Salmonella;;LECHE
3;0.2075 ;Salmonella;M33;LECHE
3;0.2083 ;Salmonella;;LECHE
3;0.2084;Salmonella;;LECHE
3;0.1532;Salmonella;M34;LECHE
3; 0.1547;Salmonella;;LECHE
3; 0.1527;Salmonella;;LECHE
4;0.1434 ;Salmonella;M1;HECES
4;0.1525 ;Salmonella;;HECES
4; 0.1614;Salmonella;;HECES
4;0.1352;Salmonella;M2;HECES
4; 0.1348;Salmonella;;HECES
4; 0.1567;Salmonella;;HECES
4;0.1431 ;Salmonella;M3;HECES
4;0.1429 ;Salmonella;;HECES
4;0.1622;Salmonella;;HECES
4;0.1334 ;Salmonella;M4;HECES
4;0.1266;Salmonella;;HECES
4; 0.1447;Salmonella;;HECES
4;0.1373 ;Salmonella;M5;LECHE
4;0.1419;Salmonella;;LECHE
4; 0.1681;Salmonella;;LECHE
4;0.1427;Salmonella;M6;LECHE
4; 0.1415 ;Salmonella;;LECHE
4;0.1621;Salmonella;;LECHE
4;0.1570 ;Salmonella;M7;HECES
4;0.1622;Salmonella;;HECES
4; 0.1751;Salmonella;;HECES
4;0.1416;Salmonella;M8;LECHE
4; 0.1573;Salmonella;;LECHE
4; 0.1872;Salmonella;;LECHE
4;0.1857 ;Salmonella;M9;HECES
4;0.1804;Salmonella;;HECES
4; 0.1954;Salmonella;;HECES
4;0.1643;Salmonella;M10;HECES
4; 0.1649 ;Salmonella;;HECES
4;0.1742;Salmonella;;HECES
4;0.1760;Salmonella;M11;LECHE
4; 0.1828 ;Salmonella;;LECHE
4;0.1813;Salmonella;;LECHE
4;0.1772;Salmonella;M12;LECHE
4; 0.1847 ;Salmonella;;LECHE
4;0.1715;Salmonella;;LECHE
4;0.2314 ;Salmonella;M13;HECES
4;0.2267 ;Salmonella;;HECES
4;0.2401;Salmonella;;HECES
4;0.1637 ;Salmonella;M14;HECES
4;0.1606 ;Salmonella;;HECES
4;0.1890;Salmonella;;HECES
4;0.1187 ;Salmonella;M15;LECHE
4;0.1210;Salmonella;;LECHE
4; 0.1188;Salmonella;;LECHE
4;0.1787 ;Salmonella;M16;HECES
4;0.1776;Salmonella;;HECES
4; 0.1770;Salmonella;;HECES
4;0.1948 ;Salmonella;M17;HECES
4;0.1964 ;Salmonella;;HECES
4;0.2128;Salmonella;;HECES
4;0.1647 ;Salmonella;M18;HECES
4;0.1657 ;Salmonella;;HECES
4;0.1604;Salmonella;;HECES
4;0.1686;Salmonella;M19;HECES
4; 0.1715 ;Salmonella;;HECES
4;0.1669;Salmonella;;HECES
4;0.1771 ;Salmonella;M20;HECES
4;0.1708 ;Salmonella;;HECES
4;0.1444;Salmonella;;HECES
4;0.1735;Salmonella;M21;LECHE
4; 0.1754;Salmonella;;LECHE
4; 0.1733;Salmonella;;LECHE
4;0.2329;Salmonella;M22;HECES
4; 0.2747 ;Salmonella;;HECES
4;0.2984;Salmonella;;HECES
4;0.2329 ;Salmonella;M23;LECHE
4;0.2241 ;Salmonella;;LECHE
4;0.5676;Salmonella;;LECHE
4;0.2354 ;Salmonella;M24;LECHE
4;0.2469;Salmonella;;LECHE
4; 0.2368;Salmonella;;LECHE
4;0.1175;Salmonella;M25;HECES
4; 0.1187;Salmonella;;HECES
4; 0.1206;Salmonella;;HECES
4;0.1203 ;Salmonella;M26;HECES
4;0.1191 ;Salmonella;;HECES
4;0.1215;Salmonella;;HECES
4;0.1184;Salmonella;M27;LECHE
4; 0.1190;Salmonella;;LECHE
4; 0.1199;Salmonella;;LECHE
4;0.1190;Salmonella;M28;LECHE
4; 0.1174;Salmonella;;LECHE
4; 0.1177;Salmonella;;LECHE
4;0.1735;Salmonella;M29;HECES
4; 0.1747;Salmonella;;HECES
4; 0.1764;Salmonella;;HECES
4;0.1782;Salmonella;M30;LECHE
4; 0.1793 ;Salmonella;;LECHE
4;0.1797;Salmonella;;LECHE
4;0.1514 ;Salmonella;M31;HECES
4;0.1547 ;Salmonella;;HECES
4;0.1507;Salmonella;;HECES
4;0.1522 ;Salmonella;M32;LECHE
4;0.1523 ;Salmonella;;LECHE
4;0.1540;Salmonella;;LECHE
4;0.2120 ;Salmonella;M33;LECHE
4;0.2090 ;Salmonella;;LECHE
4;0.2094;Salmonella;;LECHE
4;0.1539 ;Salmonella;M34;LECHE
4;0.1552 ;Salmonella;;LECHE
4;0.1546;Salmonella;;LECHE
5;0.1434 ;Salmonella;M1;HECES
5;0.1530;Salmonella;;HECES
5; 0.1507;Salmonella;;HECES
5;0.1361;Salmonella;M2;HECES
5; 0.1349 ;Salmonella;;HECES
5;0.1407;Salmonella;;HECES
5;0.1459;Salmonella;M3;HECES
5; 0.1430;Salmonella;;HECES
5; 0.1465;Salmonella;;HECES
5;0.1355;Salmonella;M4;HECES
5; 0.1285 ;Salmonella;;HECES
5;0.1453;Salmonella;;HECES
5;0.1396 ;Salmonella;M5;LECHE
5;0.1439;Salmonella;;LECHE
5; 0.1482;Salmonella;;LECHE
5;0.1437 ;Salmonella;M6;LECHE
5;0.1439;Salmonella;;LECHE
5; 0.1431;Salmonella;;LECHE
5;0.1571 ;Salmonella;M7;HECES
5;0.1621 ;Salmonella;;HECES
5;0.1555;Salmonella;;HECES
5;0.1415;Salmonella;M8;LECHE
5; 0.1455;Salmonella;;LECHE
5; 0.1744;Salmonella;;LECHE
5;0.1869;Salmonella;M9;HECES
5; 0.1858;Salmonella;;HECES
5; 0.1814;Salmonella;;HECES
5;0.1671 ;Salmonella;M10;HECES
5;0.1678 ;Salmonella;;HECES
5;0.1658;Salmonella;;HECES
5;0.1754;Salmonella;M11;LECHE
5; 0.1819 ;Salmonella;;LECHE
5;0.2107;Salmonella;;LECHE
5;0.1760;Salmonella;M12;LECHE
5; 0.1853 ;Salmonella;;LECHE
5;0.1964;Salmonella;;LECHE
5;0.2342 ;Salmonella;M13;HECES
5;0.2284 ;Salmonella;;HECES
5;0.2582;Salmonella;;HECES
5;0.1659 ;Salmonella;M14;HECES
5;0.1629 ;Salmonella;;HECES
5;0.1773;Salmonella;;HECES
5;0.1197;Salmonella;M15;LECHE
5; 0.1211;Salmonella;;LECHE
5; 0.1188;Salmonella;;LECHE
5;0.1779 ;Salmonella;M16;HECES
5;0.1760 ;Salmonella;;HECES
5;0.2001;Salmonella;;HECES
5;0.2028 ;Salmonella;M17;HECES
5;0.2091 ;Salmonella;;HECES
5;0.2489;Salmonella;;HECES
5;0.1674 ;Salmonella;M18;HECES
5;0.1672;Salmonella;;HECES
5; 0.1516;Salmonella;;HECES
5;0.1689 ;Salmonella;M19;HECES
5;0.1725 ;Salmonella;;HECES
5;0.1558;Salmonella;;HECES
5;0.1798 ;Salmonella;M20;HECES
5;0.1718;Salmonella;;HECES
5; 0.1359;Salmonella;;HECES
5;0.1729;Salmonella;M21;LECHE
5; 0.1741 ;Salmonella;;LECHE
5;0.1573;Salmonella;;LECHE
5;0.3470;Salmonella;M22;HECES
5; 0.4010 ;Salmonella;;HECES
5;0.4736;Salmonella;;HECES
5;0.3470 ;Salmonella;M23;LECHE
5;0.2746 ;Salmonella;;LECHE
5;0.6000;Salmonella;;LECHE
5;0.2368 ;Salmonella;M24;LECHE
5;0.2450;Salmonella;;LECHE
5; 0.2652;Salmonella;;LECHE
5;0.1171 ;Salmonella;M25;HECES
5;0.1183 ;Salmonella;;HECES
5;0.1218;Salmonella;;HECES
5;0.1197 ;Salmonella;M26;HECES
5;0.1191;Salmonella;;HECES
5; 0.1222;Salmonella;;HECES
5;0.1185 ;Salmonella;M27;LECHE
5;0.1185 ;Salmonella;;LECHE
5;0.1197;Salmonella;;LECHE
5;0.1182 ;Salmonella;M28;LECHE
5;0.1185 ;Salmonella;;LECHE
5;0.1176;Salmonella;;LECHE
5;0.1733;Salmonella;M29;HECES
5; 0.1739 ;Salmonella;;HECES
5;0.1631;Salmonella;;HECES
5;0.1778;Salmonella;M30;LECHE
5; 0.1793 ;Salmonella;;LECHE
5;0.2273;Salmonella;;LECHE
5;0.1717 ;Salmonella;M31;HECES
5;0.1928;Salmonella;;HECES
5; 0.1783;Salmonella;;HECES
5;0.1880 ;Salmonella;M32;LECHE
5;0.1820 ;Salmonella;;LECHE
5;0.1866;Salmonella;;LECHE
5;0.2173 ;Salmonella;M33;LECHE
5;0.2344 ;Salmonella;;LECHE
5;0.2404;Salmonella;;LECHE
5;0.1812;Salmonella;M34;LECHE
5; 0.1955 ;Salmonella;;LECHE
5;0.1909;Salmonella;;LECHE
6;0.1436 ;Salmonella;M1;HECES
6;0.1522 ;Salmonella;;HECES
6;0.1521;Salmonella;;HECES
6;0.1361;Salmonella;M2;HECES
6; 0.1365;Salmonella;;HECES
6; 0.1418;Salmonella;;HECES
6;0.1467 ;Salmonella;M3;HECES
6;0.1433;Salmonella;;HECES
6; 0.1486;Salmonella;;HECES
6;0.1344;Salmonella;M4;HECES
6; 0.1280 ;Salmonella;;HECES
6;0.1469;Salmonella;;HECES
6;0.1390 ;Salmonella;M5;LECHE
6;0.1436;Salmonella;;LECHE
6; 0.1496;Salmonella;;LECHE
6;0.1434;Salmonella;M6;LECHE
6; 0.1419 ;Salmonella;;LECHE
6;0.1430;Salmonella;;LECHE
6;0.1574 ;Salmonella;M7;HECES
6;0.1635;Salmonella;;HECES
6; 0.1559;Salmonella;;HECES
6;0.1412;Salmonella;M8;LECHE
6; 0.1449 ;Salmonella;;LECHE
6;0.1759;Salmonella;;LECHE
6;0.1865 ;Salmonella;M9;HECES
6;0.1931 ;Salmonella;;HECES
6;0.1945;Salmonella;;HECES
6;0.1759;Salmonella;M10;HECES
6; 0.1728;Salmonella;;HECES
6; 0.1790;Salmonella;;HECES
6;0.1747 ;Salmonella;M11;LECHE
6;0.1823 ;Salmonella;;LECHE
6;0.1812;Salmonella;;LECHE
6;0.1744 ;Salmonella;M12;LECHE
6;0.1880 ;Salmonella;;LECHE
6;0.1700;Salmonella;;LECHE
6;0.2372 ;Salmonella;M13;HECES
6;0.2307 ;Salmonella;;HECES
6;0.2377;Salmonella;;HECES
6;0.1648 ;Salmonella;M14;HECES
6;0.1637 ;Salmonella;;HECES
6;0.1852;Salmonella;;HECES
6;0.1193 ;Salmonella;M15;LECHE
6;0.1226 ;Salmonella;;LECHE
6;0.1199;Salmonella;;LECHE
6;0.1794 ;Salmonella;M16;HECES
6;0.1762;Salmonella;;HECES
6; 0.1771;Salmonella;;HECES
6;0.2172 ;Salmonella;M17;HECES
6;0.2332;Salmonella;;HECES
6; 0.2190;Salmonella;;HECES
6;0.1684 ;Salmonella;M18;HECES
6;0.1680;Salmonella;;HECES
6; 0.1512;Salmonella;;HECES
6;0.1697;Salmonella;M19;HECES
6; 0.1718 ;Salmonella;;HECES
6;0.1710;Salmonella;;HECES
6;0.1779 ;Salmonella;M20;HECES
6;0.1715;Salmonella;;HECES
6; 0.1372;Salmonella;;HECES
6;0.1727;Salmonella;M21;LECHE
6; 0.1734 ;Salmonella;;LECHE
6;0.1577;Salmonella;;LECHE
6;0.4537 ;Salmonella;M22;HECES
6;0.5034 ;Salmonella;;HECES
6;0.5778;Salmonella;;HECES
6;0.4537 ;Salmonella;M23;LECHE
6;0.6347;Salmonella;;LECHE
6;0.3559 ;Salmonella;;LECHE
6;0.2371 ;Salmonella;M24;LECHE
6;0.2496;Salmonella;;LECHE
6; 0.2361;Salmonella;;LECHE
6;0.1165 ;Salmonella;M25;HECES
6;0.1197 ;Salmonella;;HECES
6;0.1234;Salmonella;;HECES
6;0.1213 ;Salmonella;M26;HECES
6;0.1204;Salmonella;;HECES
6; 0.1228;Salmonella;;HECES
6;0.1192;Salmonella;M27;LECHE
6; 0.1205 ;Salmonella;;LECHE
6;0.1210;Salmonella;;LECHE
6;0.1194 ;Salmonella;M28;LECHE
6;0.1194;Salmonella;;LECHE
6; 0.1185;Salmonella;;LECHE
6;0.1739;Salmonella;M29;HECES
6; 0.1737 ;Salmonella;;HECES
6;0.1635;Salmonella;;HECES
6;0.1791 ;Salmonella;M30;LECHE
6;0.1793;Salmonella;;LECHE
6; 0.1777;Salmonella;;LECHE
6; 0.1531 ;Salmonella;M31;HECES
6;0.1508;Salmonella;;HECES
6;0.1487;Salmonella;;HECES
6; 0.1524;Salmonella;M32;LECHE
6;0.1514;Salmonella;;LECHE
6; 0.1541;Salmonella;;LECHE
6;0.2213 ;Salmonella;M33;LECHE
6;0.2074 ;Salmonella;;LECHE
6;0.2084;Salmonella;;LECHE
6;0.1529 ;Salmonella;M34;LECHE
6;0.1542;Salmonella;;LECHE
6; 0.1536;Salmonella;;LECHE
7;0.1432;Salmonella;M1;HECES
7; 0.1533 ;Salmonella;;HECES
7;0.1554;Salmonella;;HECES
7;0.1375 ;Salmonella;M2;HECES
7;0.1366 ;Salmonella;;HECES
7;0.1461;Salmonella;;HECES
7;0.1465 ;Salmonella;M3;HECES
7;0.1440 ;Salmonella;;HECES
7;0.1543;Salmonella;;HECES
7;0.1368 ;Salmonella;M4;HECES
7;0.1301 ;Salmonella;;HECES
7;0.1461;Salmonella;;HECES
7;0.1405 ;Salmonella;M5;LECHE
7;0.1458;Salmonella;;LECHE
7; 0.1499;Salmonella;;LECHE
7;0.1457  ;Salmonella;M6;LECHE
7;0.1430;Salmonella;;LECHE
7;0.1450;Salmonella;;LECHE
7;0.1588;Salmonella;M7;HECES
7; 0.1655 ;Salmonella;;HECES
7;0.1576;Salmonella;;HECES
7;0.1429;Salmonella;M8;LECHE
7; 0.1464;Salmonella;;LECHE
7; 0.1830;Salmonella;;LECHE
7;0.2175;Salmonella;M9;HECES
7; 0.2095 ;Salmonella;;HECES
7;0.1869 ;Salmonella;;HECES
7;0.1821 ;Salmonella;M10;HECES
7;0.1816 ;Salmonella;;HECES
7;0.2004;Salmonella;;HECES
7;0.1744;Salmonella;M11;LECHE
7; 0.1821 ;Salmonella;;LECHE
7;0.1845;Salmonella;;LECHE
7;0.1862 ;Salmonella;M12;LECHE
7;0.1741 ;Salmonella;;LECHE
7;0.1696;Salmonella;;LECHE
7;0.2416;Salmonella;M13;HECES
7; 0.2334 ;Salmonella;;HECES
7;0.2370;Salmonella;;HECES
7;0.1670 ;Salmonella;M14;HECES
7;0.1666;Salmonella;;HECES
7; 0.2014;Salmonella;;HECES
7;0.1207;Salmonella;M15;LECHE
7; 0.1225 ;Salmonella;;LECHE
7;0.1193;Salmonella;;LECHE
7;0.1782 ;Salmonella;M16;HECES
7;0.1754 ;Salmonella;;HECES
7;0.1790;Salmonella;;HECES
7;0.2443;Salmonella;M17;HECES
7; 0.2737 ;Salmonella;;HECES
7;0.2270;Salmonella;;HECES
7;0.1531;Salmonella;M18;HECES
7;0.1694  ;Salmonella;;HECES
7;0.1696;Salmonella;;HECES
7;0.1702 ;Salmonella;M19;HECES
7;0.1729 ;Salmonella;;HECES
7;0.1885;Salmonella;;HECES
7;0.1791;Salmonella;M20;HECES
7; 0.1716 ;Salmonella;;HECES
7;0.1405 ;Salmonella;;HECES
7;0.1731;Salmonella;M21;LECHE
7; 0.1741 ;Salmonella;;LECHE
7;0.1596;Salmonella;;LECHE
7;0.4827;Salmonella;M22;HECES
7; 0.5411 ;Salmonella;;HECES
7;0.6173;Salmonella;;HECES
7;0.4827 ;Salmonella;M23;LECHE
7;0.4711 ;Salmonella;;LECHE
7;0.6641 ;Salmonella;;LECHE
7;0.2392 ;Salmonella;M24;LECHE
7;0.2463 ;Salmonella;;LECHE
7;0.2398;Salmonella;;LECHE
7;0.1186 ;Salmonella;M25;HECES
