Tiempo;Abs;patogeno;Probiotics;Muestra
1;0.1829;Salmonella;M22;Heces
1;0.1845;Salmonella;M22;Heces
1;0.1769;Salmonella;M22;Heces
1;0.1829;Salmonella;M23;Leche
1;0.1795;Salmonella;M23;Leche
1;0.1818;Salmonella;M23;Leche
1;0.23;Salmonella;M24;Leche
1;0.2406;Salmonella;M24;Leche
1;0.2387;Salmonella;M24;Leche
1;0.1162;Salmonella;M25;Heces
1;0.1168;Salmonella;M25;Heces
1;0.1192;Salmonella;M25;Heces
1;0.1117;Salmonella;M26;Heces
1;0.1148;Salmonella;M26;Heces
1;0.1171;Salmonella;M26;Heces
1;0.116;Salmonella;M27;Leche
1;0.1183;Salmonella;M27;Leche
1;0.1183;Salmonella;M27;Leche
1;0.1223;Salmonella;M28;Leche
1;0.1163;Salmonella;M28;Leche
1;0.1165;Salmonella;M28;Leche
1;0.1683;Salmonella;M29;Heces
1;0.1684;Salmonella;M29;Heces
1;0.1638;Salmonella;M29;Heces
1;0.1731;Salmonella;M30;Leche
1;0.1718;Salmonella;M30;Leche
1;0.1737;Salmonella;M30;Leche
1;0.1503;Salmonella;M31;Heces
1;0.1516;Salmonella;M31;Heces
1;0.151;Salmonella;M31;Heces
1;0.15;Salmonella;M32;Leche
1;0.1519;Salmonella;M32;Leche
1;0.1521;Salmonella;M32;Leche
1;0.2002;Salmonella;M33;Leche
1;0.2004;Salmonella;M33;Leche
1;0.2017;Salmonella;M33;Leche
1;0.1518;Salmonella;M34;Leche
1;0.1525;Salmonella;M34;Leche
1;0.1517;Salmonella;M34;Leche
2;0.1432;Salmonella;M1;Heces
2;0.1525;Salmonella;M1;Heces
2;0.1499;Salmonella;M1;Heces
2;0.139;Salmonella;M2;Heces
2;0.1336;Salmonella;M2;Heces
2;0.1403;Salmonella;M2;Heces
2;0.1427;Salmonella;M3;Heces
2;0.1432;Salmonella;M3;Heces
2;0.1434;Salmonella;M3;Heces
2;0.1329;Salmonella;M4;Heces
2;0.1258;Salmonella;M4;Heces
2;0.1422;Salmonella;M4;Heces
2;0.1352;Salmonella;M5;Leche
2;0.1405;Salmonella;M5;Leche
2;0.1469;Salmonella;M5;Leche
2;0.1433;Salmonella;M6;Leche
2;0.1401;Salmonella;M6;Leche
2;0.1444;Salmonella;M6;Leche
2;0.157;Salmonella;M7;Heces
2;0.16;Salmonella;M7;Heces
2;0.1558;Salmonella;M7;Heces
2;0.1414;Salmonella;M8;Leche
2;0.1458;Salmonella;M8;Leche
2;0.1734;Salmonella;M8;Leche
2;0.1844;Salmonella;M9;Heces
2;0.176;Salmonella;M9;Heces
2;0.1734;Salmonella;M9;Heces
2;0.1606;Salmonella;M10;Heces
2;0.1614;Salmonella;M10;Heces
2;0.1576;Salmonella;M10;Heces
2;0.1721;Salmonella;M11;Leche
2;0.1779;Salmonella;M11;Leche
2;0.1762;Salmonella;M11;Leche
2;0.171;Salmonella;M12;Leche
2;0.1805;Salmonella;M12;Leche
2;0.1689;Salmonella;M12;Leche
2;0.2196;Salmonella;M13;Heces
2;0.2156;Salmonella;M13;Heces
2;0.2309;Salmonella;M13;Heces
2;0.1608;Salmonella;M14;Heces
2;0.1582;Salmonella;M14;Heces
2;0.173;Salmonella;M14;Heces
2;0.1168;Salmonella;M15;Leche
2;0.1205;Salmonella;M15;Leche
2;0.117;Salmonella;M15;Leche
2;0.1724;Salmonella;M16;Heces
2;0.173;Salmonella;M16;Heces
2;0.1724;Salmonella;M16;Heces
2;0.1891;Salmonella;M17;Heces
2;0.1901;Salmonella;M17;Heces
2;0.2026;Salmonella;M17;Heces
2;0.163;Salmonella;M18;Heces
2;0.1629;Salmonella;M18;Heces
2;0.1526;Salmonella;M18;Heces
2;0.1675;Salmonella;M19;Heces
2;0.1698;Salmonella;M19;Heces
2;0.1469;Salmonella;M19;Heces
2;0.1773;Salmonella;M20;Heces
2;0.1717;Salmonella;M20;Heces
2;0.137;Salmonella;M20;Heces
2;0.1676;Salmonella;M21;Leche
2;0.1694;Salmonella;M21;Leche
2;0.1574;Salmonella;M21;Leche
2;0.186;Salmonella;M22;Heces
2;0.1918;Salmonella;M22;Heces
2;0.1839;Salmonella;M22;Heces
2;0.186;Salmonella;M23;Leche
2;0.1838;Salmonella;M23;Leche
2;0.1989;Salmonella;M23;Leche
2;0.2313;Salmonella;M24;Leche
2;0.2409;Salmonella;M24;Leche
2;0.2348;Salmonella;M24;Leche
2;0.1137;Salmonella;M25;Heces
2;0.1169;Salmonella;M25;Heces
2;0.1173;Salmonella;M25;Heces
2;0.1157;Salmonella;M26;Heces
2;0.1145;Salmonella;M26;Heces
2;0.1181;Salmonella;M26;Heces
2;0.1157;Salmonella;M27;Leche
2;0.1162;Salmonella;M27;Leche
2;0.1172;Salmonella;M27;Leche
2;0.1171;Salmonella;M28;Leche
2;0.1152;Salmonella;M28;Leche
2;0.1152;Salmonella;M28;Leche
2;0.1697;Salmonella;M29;Heces
2;0.1703;Salmonella;M29;Heces
2;0.1628;Salmonella;M29;Heces
2;0.1735;Salmonella;M30;Leche
2;0.1741;Salmonella;M30;Leche
2;0.1731;Salmonella;M30;Leche
2;0.149;Salmonella;M31;Heces
2;0.1504;Salmonella;M31;Heces
2;0.1459;Salmonella;M31;Heces
2;0.1491;Salmonella;M32;Leche
2;0.1506;Salmonella;M32;Leche
2;0.1517;Salmonella;M32;Leche
2;0.2035;Salmonella;M33;Leche
2;0.2015;Salmonella;M33;Leche
2;0.2024;Salmonella;M33;Leche
2;0.151;Salmonella;M34;Leche
2;0.1516;Salmonella;M34;Leche
2;0.1523;Salmonella;M34;Leche
3;0.1441;Salmonella;M1;Heces
3;0.153;Salmonella;M1;Heces
3;0.151;Salmonella;M1;Heces
3;0.1359;Salmonella;M2;Heces
3;0.1345;Salmonella;M2;Heces
3;0.1412;Salmonella;M2;Heces
3;0.1429;Salmonella;M3;Heces
3;0.1431;Salmonella;M3;Heces
3;0.1462;Salmonella;M3;Heces
3;0.134;Salmonella;M4;Heces
3;0.1271;Salmonella;M4;Heces
3;0.1426;Salmonella;M4;Heces
3;0.1376;Salmonella;M5;Leche
3;0.1418;Salmonella;M5;Leche
3;0.149;Salmonella;M5;Leche
3;0.1426;Salmonella;M6;Leche
3;0.1426;Salmonella;M6;Leche
3;0.1467;Salmonella;M6;Leche
3;0.1582;Salmonella;M7;Heces
3;0.1614;Salmonella;M7;Heces
3;0.1567;Salmonella;M7;Heces
3;0.1422;Salmonella;M8;Leche
3;0.1469;Salmonella;M8;Leche
3;0.1766;Salmonella;M8;Leche
3;0.1839;Salmonella;M9;Heces
3;0.1776;Salmonella;M9;Heces
3;0.1769;Salmonella;M9;Heces
3;0.1614;Salmonella;M10;Heces
3;0.1625;Salmonella;M10;Heces
3;0.1606;Salmonella;M10;Heces
3;0.1734;Salmonella;M11;Leche
3;0.1793;Salmonella;M11;Leche
3;0.1794;Salmonella;M11;Leche
3;0.1748;Salmonella;M12;Leche
3;0.1826;Salmonella;M12;Leche
3;0.1721;Salmonella;M12;Leche
3;0.2247;Salmonella;M13;Heces
3;0.2213;Salmonella;M13;Heces
3;0.2389;Salmonella;M13;Heces
3;0.1619;Salmonella;M14;Heces
3;0.1585;Salmonella;M14;Heces
3;0.1751;Salmonella;M14;Heces
3;0.1174;Salmonella;M15;Leche
3;0.1183;Salmonella;M15;Leche
3;0.1167;Salmonella;M15;Leche
3;0.1743;Salmonella;M16;Heces
3;0.1744;Salmonella;M16;Heces
3;0.1771;Salmonella;M16;Heces
3;0.191;Salmonella;M17;Heces
3;0.1911;Salmonella;M17;Heces
3;0.2088;Salmonella;M17;Heces
3;0.164;Salmonella;M18;Heces
3;0.1625;Salmonella;M18;Heces
3;0.1525;Salmonella;M18;Heces
3;0.1666;Salmonella;M19;Heces
3;0.1698;Salmonella;M19;Heces
3;0.1503;Salmonella;M19;Heces
3;0.176;Salmonella;M20;Heces
3;0.1697;Salmonella;M20;Heces
3;0.1386;Salmonella;M20;Heces
3;0.17;Salmonella;M21;Leche
3;0.1717;Salmonella;M21;Leche
3;0.1589;Salmonella;M21;Leche
3;0.1897;Salmonella;M22;Heces
3;0.2169;Salmonella;M22;Heces
3;0.2163;Salmonella;M22;Heces
3;0.1897;Salmonella;M23;Leche
3;0.1951;Salmonella;M23;Leche
3;0.3533;Salmonella;M23;Leche
3;0.2332;Salmonella;M24;Leche
3;0.2438;Salmonella;M24;Leche
3;0.2373;Salmonella;M24;Leche
3;0.1142;Salmonella;M25;Heces
3;0.1167;Salmonella;M25;Heces
3;0.117;Salmonella;M25;Heces
3;0.1171;Salmonella;M26;Heces
3;0.1167;Salmonella;M26;Heces
3;0.1186;Salmonella;M26;Heces
3;0.1129;Salmonella;M27;Leche
3;0.117;Salmonella;M27;Leche
3;0.1177;Salmonella;M27;Leche
3;0.1163;Salmonella;M28;Leche
3;0.1158;Salmonella;M28;Leche
3;0.1159;Salmonella;M28;Leche
3;0.1706;Salmonella;M29;Heces
3;0.1719;Salmonella;M29;Heces
3;0.1645;Salmonella;M29;Heces
3;0.1753;Salmonella;M30;Leche
3;0.176;Salmonella;M30;Leche
3;0.1785;Salmonella;M30;Leche
3;0.1515;Salmonella;M31;Heces
3;0.1537;Salmonella;M31;Heces
3;0.1502;Salmonella;M31;Heces
3;0.1524;Salmonella;M32;Leche
3;0.1533;Salmonella;M32;Leche
3;0.1548;Salmonella;M32;Leche
3;0.2075;Salmonella;M33;Leche
3;0.2083;Salmonella;M33;Leche
3;0.2084;Salmonella;M33;Leche
3;0.1532;Salmonella;M34;Leche
3;0.1547;Salmonella;M34;Leche
3;0.1527;Salmonella;M34;Leche
4;0.1434;Salmonella;M1;Heces
4;0.1525;Salmonella;M1;Heces
4;0.1614;Salmonella;M1;Heces
4;0.1352;Salmonella;M2;Heces
4;0.1348;Salmonella;M2;Heces
4;0.1567;Salmonella;M2;Heces
4;0.1431;Salmonella;M3;Heces
4;0.1429;Salmonella;M3;Heces
4;0.1622;Salmonella;M3;Heces
4;0.1334;Salmonella;M4;Heces
4;0.1266;Salmonella;M4;Heces
4;0.1447;Salmonella;M4;Heces
4;0.1373;Salmonella;M5;Leche
4;0.1419;Salmonella;M5;Leche
4;0.1681;Salmonella;M5;Leche
4;0.1427;Salmonella;M6;Leche
4;0.1415;Salmonella;M6;Leche
4;0.1621;Salmonella;M6;Leche
4;0.157;Salmonella;M7;Heces
4;0.1622;Salmonella;M7;Heces
4;0.1751;Salmonella;M7;Heces
4;0.1416;Salmonella;M8;Leche
4;0.1573;Salmonella;M8;Leche
4;0.1872;Salmonella;M8;Leche
4;0.1857;Salmonella;M9;Heces
4;0.1804;Salmonella;M9;Heces
4;0.1954;Salmonella;M9;Heces
4;0.1643;Salmonella;M10;Heces
4;0.1649;Salmonella;M10;Heces
4;0.1742;Salmonella;M10;Heces
4;0.176;Salmonella;M11;Leche
4;0.1828;Salmonella;M11;Leche
4;0.1813;Salmonella;M11;Leche
4;0.1772;Salmonella;M12;Leche
4;0.1847;Salmonella;M12;Leche
4;0.1715;Salmonella;M12;Leche
4;0.2314;Salmonella;M13;Heces
4;0.2267;Salmonella;M13;Heces
4;0.2401;Salmonella;M13;Heces
4;0.1637;Salmonella;M14;Heces
4;0.1606;Salmonella;M14;Heces
4;0.189;Salmonella;M14;Heces
4;0.1187;Salmonella;M15;Leche
4;0.121;Salmonella;M15;Leche
4;0.1188;Salmonella;M15;Leche
4;0.1787;Salmonella;M16;Heces
4;0.1776;Salmonella;M16;Heces
4;0.177;Salmonella;M16;Heces
4;0.1948;Salmonella;M17;Heces
4;0.1964;Salmonella;M17;Heces
4;0.2128;Salmonella;M17;Heces
4;0.1647;Salmonella;M18;Heces
4;0.1657;Salmonella;M18;Heces
4;0.1604;Salmonella;M18;Heces
4;0.1686;Salmonella;M19;Heces
4;0.1715;Salmonella;M19;Heces
4;0.1669;Salmonella;M19;Heces
4;0.1771;Salmonella;M20;Heces
4;0.1708;Salmonella;M20;Heces
4;0.1444;Salmonella;M20;Heces
4;0.1735;Salmonella;M21;Leche
4;0.1754;Salmonella;M21;Leche
4;0.1733;Salmonella;M21;Leche
4;0.2329;Salmonella;M22;Heces
4;0.2747;Salmonella;M22;Heces
4;0.2984;Salmonella;M22;Heces
4;0.2329;Salmonella;M23;Leche
4;0.2241;Salmonella;M23;Leche
4;0.5676;Salmonella;M23;Leche
4;0.2354;Salmonella;M24;Leche
4;0.2469;Salmonella;M24;Leche
4;0.2368;Salmonella;M24;Leche
4;0.1175;Salmonella;M25;Heces
4;0.1187;Salmonella;M25;Heces
4;0.1206;Salmonella;M25;Heces
4;0.1203;Salmonella;M26;Heces
4;0.1191;Salmonella;M26;Heces
4;0.1215;Salmonella;M26;Heces
4;0.1184;Salmonella;M27;Leche
4;0.119;Salmonella;M27;Leche
4;0.1199;Salmonella;M27;Leche
4;0.119;Salmonella;M28;Leche
4;0.1174;Salmonella;M28;Leche
4;0.1177;Salmonella;M28;Leche
4;0.1735;Salmonella;M29;Heces
4;0.1747;Salmonella;M29;Heces
4;0.1764;Salmonella;M29;Heces
4;0.1782;Salmonella;M30;Leche
4;0.1793;Salmonella;M30;Leche
4;0.1797;Salmonella;M30;Leche
4;0.1514;Salmonella;M31;Heces
4;0.1547;Salmonella;M31;Heces
4;0.1507;Salmonella;M31;Heces
4;0.1522;Salmonella;M32;Leche
4;0.1523;Salmonella;M32;Leche
4;0.154;Salmonella;M32;Leche
4;0.212;Salmonella;M33;Leche
4;0.209;Salmonella;M33;Leche
4;0.2094;Salmonella;M33;Leche
4;0.1539;Salmonella;M34;Leche
4;0.1552;Salmonella;M34;Leche
4;0.1546;Salmonella;M34;Leche
5;0.1434;Salmonella;M1;Heces
5;0.153;Salmonella;M1;Heces
5;0.1507;Salmonella;M1;Heces
5;0.1361;Salmonella;M2;Heces
5;0.1349;Salmonella;M2;Heces
5;0.1407;Salmonella;M2;Heces
5;0.1459;Salmonella;M3;Heces
5;0.143;Salmonella;M3;Heces
5;0.1465;Salmonella;M3;Heces
5;0.1355;Salmonella;M4;Heces
5;0.1285;Salmonella;M4;Heces
5;0.1453;Salmonella;M4;Heces
5;0.1396;Salmonella;M5;Leche
5;0.1439;Salmonella;M5;Leche
5;0.1482;Salmonella;M5;Leche
5;0.1437;Salmonella;M6;Leche
5;0.1439;Salmonella;M6;Leche
5;0.1431;Salmonella;M6;Leche
5;0.1571;Salmonella;M7;Heces
5;0.1621;Salmonella;M7;Heces
5;0.1555;Salmonella;M7;Heces
5;0.1415;Salmonella;M8;Leche
5;0.1455;Salmonella;M8;Leche
5;0.1744;Salmonella;M8;Leche
5;0.1869;Salmonella;M9;Heces
5;0.1858;Salmonella;M9;Heces
5;0.1814;Salmonella;M9;Heces
5;0.1671;Salmonella;M10;Heces
5;0.1678;Salmonella;M10;Heces
5;0.1658;Salmonella;M10;Heces
5;0.1754;Salmonella;M11;Leche
5;0.1819;Salmonella;M11;Leche
5;0.2107;Salmonella;M11;Leche
5;0.176;Salmonella;M12;Leche
5;0.1853;Salmonella;M12;Leche
5;0.1964;Salmonella;M12;Leche
5;0.2342;Salmonella;M13;Heces
5;0.2284;Salmonella;M13;Heces
5;0.2582;Salmonella;M13;Heces
5;0.1659;Salmonella;M14;Heces
5;0.1629;Salmonella;M14;Heces
5;0.1773;Salmonella;M14;Heces
5;0.1197;Salmonella;M15;Leche
5;0.1211;Salmonella;M15;Leche
5;0.1188;Salmonella;M15;Leche
5;0.1779;Salmonella;M16;Heces
5;0.176;Salmonella;M16;Heces
5;0.2001;Salmonella;M16;Heces
5;0.2028;Salmonella;M17;Heces
5;0.2091;Salmonella;M17;Heces
5;0.2489;Salmonella;M17;Heces
5;0.1674;Salmonella;M18;Heces
5;0.1672;Salmonella;M18;Heces
5;0.1516;Salmonella;M18;Heces
5;0.1689;Salmonella;M19;Heces
5;0.1725;Salmonella;M19;Heces
5;0.1558;Salmonella;M19;Heces
5;0.1798;Salmonella;M20;Heces
5;0.1718;Salmonella;M20;Heces
5;0.1359;Salmonella;M20;Heces
5;0.1729;Salmonella;M21;Leche
5;0.1741;Salmonella;M21;Leche
5;0.1573;Salmonella;M21;Leche
5;0.347;Salmonella;M22;Heces
5;0.401;Salmonella;M22;Heces
5;0.4736;Salmonella;M22;Heces
5;0.347;Salmonella;M23;Leche
5;0.2746;Salmonella;M23;Leche
5;0.6;Salmonella;M23;Leche
5;0.2368;Salmonella;M24;Leche
5;0.245;Salmonella;M24;Leche
5;0.2652;Salmonella;M24;Leche
5;0.1171;Salmonella;M25;Heces
5;0.1183;Salmonella;M25;Heces
5;0.1218;Salmonella;M25;Heces
5;0.1197;Salmonella;M26;Heces
5;0.1191;Salmonella;M26;Heces
5;0.1222;Salmonella;M26;Heces
5;0.1185;Salmonella;M27;Leche
5;0.1185;Salmonella;M27;Leche
5;0.1197;Salmonella;M27;Leche
5;0.1182;Salmonella;M28;Leche
5;0.1185;Salmonella;M28;Leche
5;0.1176;Salmonella;M28;Leche
5;0.1733;Salmonella;M29;Heces
5;0.1739;Salmonella;M29;Heces
5;0.1631;Salmonella;M29;Heces
5;0.1778;Salmonella;M30;Leche
5;0.1793;Salmonella;M30;Leche
5;0.2273;Salmonella;M30;Leche
5;0.1717;Salmonella;M31;Heces
5;0.1928;Salmonella;M31;Heces
5;0.1783;Salmonella;M31;Heces
5;0.188;Salmonella;M32;Leche
5;0.182;Salmonella;M32;Leche
5;0.1866;Salmonella;M32;Leche
5;0.2173;Salmonella;M33;Leche
5;0.2344;Salmonella;M33;Leche
5;0.2404;Salmonella;M33;Leche
5;0.1812;Salmonella;M34;Leche
5;0.1955;Salmonella;M34;Leche
5;0.1909;Salmonella;M34;Leche
6;0.1436;Salmonella;M1;Heces
6;0.1522;Salmonella;M1;Heces
6;0.1521;Salmonella;M1;Heces
6;0.1361;Salmonella;M2;Heces
6;0.1365;Salmonella;M2;Heces
6;0.1418;Salmonella;M2;Heces
6;0.1467;Salmonella;M3;Heces
6;0.1433;Salmonella;M3;Heces
6;0.1486;Salmonella;M3;Heces
6;0.1344;Salmonella;M4;Heces
6;0.128;Salmonella;M4;Heces
6;0.1469;Salmonella;M4;Heces
6;0.139;Salmonella;M5;Leche
6;0.1436;Salmonella;M5;Leche
6;0.1496;Salmonella;M5;Leche
6;0.1434;Salmonella;M6;Leche
6;0.1419;Salmonella;M6;Leche
6;0.143;Salmonella;M6;Leche
6;0.1574;Salmonella;M7;Heces
6;0.1635;Salmonella;M7;Heces
6;0.1559;Salmonella;M7;Heces
6;0.1412;Salmonella;M8;Leche
6;0.1449;Salmonella;M8;Leche
6;0.1759;Salmonella;M8;Leche
6;0.1865;Salmonella;M9;Heces
6;0.1931;Salmonella;M9;Heces
6;0.1945;Salmonella;M9;Heces
6;0.1759;Salmonella;M10;Heces
6;0.1728;Salmonella;M10;Heces
6;0.179;Salmonella;M10;Heces
6;0.1747;Salmonella;M11;Leche
6;0.1823;Salmonella;M11;Leche
6;0.1812;Salmonella;M11;Leche
6;0.1744;Salmonella;M12;Leche
6;0.188;Salmonella;M12;Leche
6;0.17;Salmonella;M12;Leche
6;0.2372;Salmonella;M13;Heces
6;0.2307;Salmonella;M13;Heces
6;0.2377;Salmonella;M13;Heces
6;0.1648;Salmonella;M14;Heces
6;0.1637;Salmonella;M14;Heces
6;0.1852;Salmonella;M14;Heces
6;0.1193;Salmonella;M15;Leche
6;0.1226;Salmonella;M15;Leche
6;0.1199;Salmonella;M15;Leche
6;0.1794;Salmonella;M16;Heces
6;0.1762;Salmonella;M16;Heces
6;0.1771;Salmonella;M16;Heces
6;0.2172;Salmonella;M17;Heces
6;0.2332;Salmonella;M17;Heces
6;0.219;Salmonella;M17;Heces
6;0.1684;Salmonella;M18;Heces
6;0.168;Salmonella;M18;Heces
6;0.1512;Salmonella;M18;Heces
6;0.1697;Salmonella;M19;Heces
6;0.1718;Salmonella;M19;Heces
6;0.171;Salmonella;M19;Heces
6;0.1779;Salmonella;M20;Heces
6;0.1715;Salmonella;M20;Heces
6;0.1372;Salmonella;M20;Heces
6;0.1727;Salmonella;M21;Leche
6;0.1734;Salmonella;M21;Leche
6;0.1577;Salmonella;M21;Leche
6;0.4537;Salmonella;M22;Heces
6;0.5034;Salmonella;M22;Heces
6;0.5778;Salmonella;M22;Heces
6;0.4537;Salmonella;M23;Leche
6;0.6347;Salmonella;M23;Leche
6;0.3559;Salmonella;M23;Leche
6;0.2371;Salmonella;M24;Leche
6;0.2496;Salmonella;M24;Leche
6;0.2361;Salmonella;M24;Leche
6;0.1165;Salmonella;M25;Heces
6;0.1197;Salmonella;M25;Heces
6;0.1234;Salmonella;M25;Heces
6;0.1213;Salmonella;M26;Heces
6;0.1204;Salmonella;M26;Heces
6;0.1228;Salmonella;M26;Heces
6;0.1192;Salmonella;M27;Leche
6;0.1205;Salmonella;M27;Leche
6;0.121;Salmonella;M27;Leche
6;0.1194;Salmonella;M28;Leche
6;0.1194;Salmonella;M28;Leche
6;0.1185;Salmonella;M28;Leche
6;0.1739;Salmonella;M29;Heces
6;0.1737;Salmonella;M29;Heces
6;0.1635;Salmonella;M29;Heces
6;0.1791;Salmonella;M30;Leche
6;0.1793;Salmonella;M30;Leche
6;0.1777;Salmonella;M30;Leche
6;0.1531;Salmonella;M31;Heces
6;0.1508;Salmonella;M31;Heces
6;0.1487;Salmonella;M31;Heces
6;0.1524;Salmonella;M32;Leche
6;0.1514;Salmonella;M32;Leche
6;0.1541;Salmonella;M32;Leche
6;0.2213;Salmonella;M33;Leche
6;0.2074;Salmonella;M33;Leche
6;0.2084;Salmonella;M33;Leche
6;0.1529;Salmonella;M34;Leche
6;0.1542;Salmonella;M34;Leche
6;0.1536;Salmonella;M34;Leche
7;0.1432;Salmonella;M1;Heces
7;0.1533;Salmonella;M1;Heces
7;0.1554;Salmonella;M1;Heces
7;0.1375;Salmonella;M2;Heces
7;0.1366;Salmonella;M2;Heces
7;0.1461;Salmonella;M2;Heces
7;0.1465;Salmonella;M3;Heces
7;0.144;Salmonella;M3;Heces
7;0.1543;Salmonella;M3;Heces
7;0.1368;Salmonella;M4;Heces
7;0.1301;Salmonella;M4;Heces
7;0.1461;Salmonella;M4;Heces
7;0.1405;Salmonella;M5;Leche
7;0.1458;Salmonella;M5;Leche
7;0.1499;Salmonella;M5;Leche
7;0.1457;Salmonella;M6;Leche
7;0.143;Salmonella;M6;Leche
7;0.145;Salmonella;M6;Leche
7;0.1588;Salmonella;M7;Heces
7;0.1655;Salmonella;M7;Heces
7;0.1576;Salmonella;M7;Heces
7;0.1429;Salmonella;M8;Leche
7;0.1464;Salmonella;M8;Leche
7;0.183;Salmonella;M8;Leche
7;0.2175;Salmonella;M9;Heces
7;0.2095;Salmonella;M9;Heces
7;0.1869;Salmonella;M9;Heces
7;0.1821;Salmonella;M10;Heces
7;0.1816;Salmonella;M10;Heces
7;0.2004;Salmonella;M10;Heces
7;0.1744;Salmonella;M11;Leche
7;0.1821;Salmonella;M11;Leche
7;0.1845;Salmonella;M11;Leche
7;0.1862;Salmonella;M12;Leche
7;0.1741;Salmonella;M12;Leche
7;0.1696;Salmonella;M12;Leche
7;0.2416;Salmonella;M13;Heces
7;0.2334;Salmonella;M13;Heces
7;0.237;Salmonella;M13;Heces
7;0.167;Salmonella;M14;Heces
7;0.1666;Salmonella;M14;Heces
7;0.2014;Salmonella;M14;Heces
7;0.1207;Salmonella;M15;Leche
7;0.1225;Salmonella;M15;Leche
7;0.1193;Salmonella;M15;Leche
7;0.1782;Salmonella;M16;Heces
7;0.1754;Salmonella;M16;Heces
7;0.179;Salmonella;M16;Heces
7;0.2443;Salmonella;M17;Heces
7;0.2737;Salmonella;M17;Heces
7;0.227;Salmonella;M17;Heces
7;0.1531;Salmonella;M18;Heces
7;0.1694;Salmonella;M18;Heces
7;0.1696;Salmonella;M18;Heces
7;0.1702;Salmonella;M19;Heces
7;0.1729;Salmonella;M19;Heces
7;0.1885;Salmonella;M19;Heces
7;0.1791;Salmonella;M20;Heces
7;0.1716;Salmonella;M20;Heces
7;0.1405;Salmonella;M20;Heces
7;0.1731;Salmonella;M21;Leche
7;0.1741;Salmonella;M21;Leche
7;0.1596;Salmonella;M21;Leche
7;0.4827;Salmonella;M22;Heces
7;0.5411;Salmonella;M22;Heces
7;0.6173;Salmonella;M22;Heces
7;0.4827;Salmonella;M23;Leche
7;0.4711;Salmonella;M23;Leche
7;0.6641;Salmonella;M23;Leche
7;0.2392;Salmonella;M24;Leche
7;0.2463;Salmonella;M24;Leche
7;0.2398;Salmonella;M24;Leche
7;0.1186;Salmonella;M25;Heces
7;0.1204;Salmonella;M25;Heces
7;0.124;Salmonella;M25;Heces
7;0.1213;Salmonella;M26;Heces
7;0.1207;Salmonella;M26;Heces
7;0.1233;Salmonella;M26;Heces
7;0.1186;Salmonella;M27;Leche
7;0.1204;Salmonella;M27;Leche
7;0.1215;Salmonella;M27;Leche
7;0.1208;Salmonella;M28;Leche
7;0.1209;Salmonella;M28;Leche
7;0.1198;Salmonella;M28;Leche
7;0.1651;Salmonella;M29;Heces
7;0.1743;Salmonella;M29;Heces
7;0.1744;Salmonella;M29;Heces
7;0.179;Salmonella;M30;Leche
7;0.1789;Salmonella;M30;Leche
